feature,importance
cp,0.14768119646652714
chol,0.13035513328984466
thalach,0.11460036128699845
age,0.11145365984171055
oldpeak,0.1044207746890887
exang,0.07500291860066448
trestbps,0.06927299275372213
thal,0.049994165021576505
sex,0.036077424648584246
ca,0.0256875732023128
restecg,0.02476254874689084
source_switzerland,0.022413779742518212
source_hungarian,0.021842254926656222
slope,0.02085203607210224
source_va,0.01788559823016682
fbs,0.017025377007681676
source_cleveland,0.010672205472954114
